source_row,date,weekday,3A_winner,3A_battle_count,3A_banquet,3B_winner,3B_battle_count,3B_banquet,2A_winner,2A_battle_count,2A_unified,2A_banquet,2B_winner,2B_battle_count,2B_unified,2B_banquet,2C_winner,2C_battle_count,2C_unified,2C_banquet,1A_winner,1A_battle_count,1A_unified,1A_banquet,1B_winner,1B_battle_count,1B_unified,1B_banquet,1C_winner,1C_battle_count,1C_unified,1C_banquet,1D_winner,1D_battle_count,1D_unified,1D_banquet,1E_winner,1E_battle_count,1E_unified,1E_banquet,siege_calpheon_winner,siege_calpheon_attacker1,siege_calpheon_attacker2,siege_valencia_winner,siege_valencia_attacker1,siege_valencia_attacker2
142,2026-01-01,木,TheUniverse,,-,,,,UnityJP,,-,-,ーArchー,,-,-,Maverickz,,-,-,Иouver,,統一,-,xAEGISx,,-,-,βυsнỉȉdo家族,,統一,宴会,海洋之心,,-,-,PhoenixJP,,-,-,,,,,,
143,2026-01-02,金,・殺戮・,,-,,,,VainqueurJP,,-,宴会,TRAITORs,,-,-,,,,,オアシスステップ,,-,宴会,xAEGISx,,統一,-,一惡人谷一,,-,-,微笑Party,,-,-,亗Luxúria亗,,-,-,,,,,,
144,2026-01-03,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2026-01-04,日,沙漠黑鷹,,-,,,,AlmaVivaJP,,-,宴会,TRAITORs,,-,宴会,,,,,SkyCastle,,-,-,PhoenixJP,,-,宴会,微笑Party,,統一,宴会,義勇,,-,宴会,黄昏のえりしおん,,-,-,,,,,,
146,2026-01-05,月,PONYTAIL,,-,雪狼族,,,柿一門,,-,-,VainqueurJP,,-,宴会,MystSA,,-,宴会,ZirconiA,,-,-,美奚冰室,,統一,-,LeLien,,-,-,ー麒麟ー,,-,宴会,Restart,,-,宴会,,,,,,
147,2026-01-06,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2026-01-07,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2026-01-08,木,TheUniverse,,宴会,,,,ーリベリオンー,,統一,-,桜吹雪,,-,宴会,VainqueurJP,,-,-,Bagaиі,,-,-,xAEGISx,,統一,-,βυsнỉȉdo家族,,-,-,毛家村,,-,-,Revenant,,-,宴会,,,,,,
150,2026-01-09,金,・殺戮・,,宴会,,,,VainqueurJP,,-,-,PhoenixJP,,-,-,,,,,オアシスステップ,,-,-,ーEspoirー,,-,-,一惡人谷一,,統一,-,Döraêmön,,統一,-,亗Luxúria亗,,統一,-,,,,,,
151,2026-01-10,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2026-01-11,日,沙漠黑鷹,,-,,,,氣噗噗讓玻璃心碎一地,,-,-,TRAITORs,,-,-,,,,,SkyCastle,,-,宴会,UnityJP,,-,-,Restart,,-,-,ZirconiA,,統一,-,Revenant,,統一,-,,,,,,
153,2026-01-12,月,PONYTAIL,,宴会,,,-,PokemonGo,,-,宴会,VainqueurJP,,-,-,MystSA,,-,-,黒の太陽,,-,-,Restart,,-,宴会,Maverickz,,統一,宴会,シェイド,,-,-,彡MukBANG彡,,統一,-,,,,,,
154,2026-01-13,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,2026-01-14,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2026-01-15,木,PONYTAIL,,-,,,,UnityJP,,-,宴会,柿一門,,-,-,VainqueurJP,,-,宴会,C0BRA,,統一,宴会,ーArchー,,-,-,βυsнỉȉdo家族,,-,-,雲淡風輕o,,統一,宴会,Döraêmön,,-,-,,,,,,
157,2026-01-16,金,・殺戮・,,-,,,,VainqueurJP,,-,-,PhoenixJP,,-,-,,,,,桜吹雪,,統一,-,ーArchー,,-,宴会,一惡人谷一,,-,-,TheUniverse,,-,-,xAEGISx,,-,-,,,,,,
158,2026-01-17,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2026-01-18,日,沙漠黑鷹,,宴会,,,,AlmaVivaJP,,-,-,Maverickz,,統一,-,,,,,微笑Party,,統一,-,亗Luxúria亗,,統一,-,Restart,,-,-,桜吹雪,,-,-,黒の太陽,,-,宴会,,,,,,
160,2026-01-19,月,Maverickz,,-,・殺戮・,,宴会,PokemonGo,,-,-,UnityJP,,-,-,MystSA,,-,-,Иouver,,統一,-,美孚冰室,,統一,-,Etërnîty,,-,-,シェイド,,-,-,彡MukBANG彡,,-,宴会,,,,,,
161,2026-01-20,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,2026-01-21,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,2026-01-22,木,PONYTAIL,,宴会,,,,シェイド,,-,-,柿一門,,-,-,TRAITORs,,-,-,Revenant,,-,-,毛家村,,-,-,βυsнỉȉdo家族,,統一,宴会,SkyCastle,,-,-,Döraêmön,,統一,-,,,,,,
164,2026-01-23,金,雪狼族,,-,,,,雲淡風輕o,,-,-,PhoenixJP,,統一,宴会,,,,,LeLien,,-,宴会,Restart,,-,-,一惡人谷一,,統一,-,TheUniverse,,-,宴会,Sangsaka,,統一,宴会,,,,,,
165,2026-01-24,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2026-01-25,日,沙漠黑鷹,,-,,,,氣噗噗讓玻璃心碎一地,,-,宴会,MystSA,,-,宴会,,,,,SkyCastle,,-,宴会,xAEGISx,,-,-,Restart,,-,-,LeLien,,-,-,Revenant,,統一,-,,,,,,
167,2026-01-26,月,Maverickz,,-,雪狼族,,-,PokemonGo,,-,-,Restart,,-,-,TheUniverse,,-,-,Kopitiam,,-,-,FLORISTS,,-,宴会,Etërnîty,,統一,-,ーEspoirー,,統一,宴会,βυsнỉȉdo家族,,-,-,,,,,,
168,2026-01-27,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,2026-01-28,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2026-01-29,木,PONYTAIL,,-,,,,xAEGISx,,-,-,義勇,,統一,宴会,TRAITORs,,-,-,SanctaTerra,,-,宴会,Demise,,統一,-,ーEspoirー,,-,-,亗Luxúria亗,,統一,-,Döraêmön,,-,-,,,,,,
171,2026-01-30,金,・殺戮・,,宴会,,,,東京熱株式會社,,-,宴会,PhoenixJP,,-,-,,,,,LeLien,,-,-,黄昏のえりしおん,,統一,宴会,一惡人谷一,,-,-,一SUN一,,統一,-,彡MukBANG彡,,-,-,,,,,,
172,2026-01-31,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,2026-02-01,日,沙漠黑鷹,,宴会,,,,氣噗噗讓玻璃心碎一地,,-,-,TRAITORs,,-,-,,,,,SkyCastle,,-,-,UnityJP,,-,-,ーArchー,,-,-,オアシスステップ,,統一,宴会,RëBîrth,,-,-,,,,,,
174,2026-02-02,月,PONYTAIL,,宴会,雪狼族,,宴会,MystSA,,,宴会,VainqueurJP,,-,-,xAEGISx,,統一,宴会,Revenant,,-,-,微笑Party,,-,-,Döraêmön,,-,宴会,ー麒麟ー,,-,-,亗Luxúria亗,,統一,-,,,,,,
175,2026-02-03,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,2026-02-04,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,2026-02-05,木,PONYTAIL,,-,,,,UnityJP,,-,宴会,柿一門,,-,-,TRAITORs,,-,-,ムpocalype,,統一,-,Demise,,-,宴会,FLORISTS,,統一,-,βυsнỉȉdo家族,,-,-,TheUniverse,,-,宴会,,,,,,
178,2026-02-06,金,・殺戮・,,-,,,,Maverickz,,-,-,TRAITORs,,-,-,,,,,義勇,,統一,-,オアシスステップ,,-,-,一惡人谷一,,-,-,TheUniverse,,-,宴会,Etërnîty,,-,宴会,,,,,,
179,2026-02-07,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2026-02-08,日,沙漠黑鷹,,-,,,,AlmaVivaJP,,-,-,TRAITORs,,-,-,,,,,美孚冰室,,統一,宴会,シェイド,,統一,-,オアシスステップ,,-,-,黒の太陽,,-,-,Revenant,,統一,-,,,,,,
181,2026-02-09,月,TRAITORs,,-,雪狼族,,-,MystSA,,-,-,ーArchー,,-,-,TheUniverse,,-,-,ーEspoirー,,-,宴会,微笑Party,,統一,-,氣噗噗讓玻璃心碎一地,,-,-,ーリベリオンー,,-,宴会,亗Luxúria亗,,-,宴会,,,,,,
182,2026-02-10,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2026-02-11,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,2026-02-12,木,RaиkSS,,宴会,,,,黄昏のえりしおん,,-,-,黒の太陽,,-,-,Döraêmön,,統一,-,Restart,,-,宴会,xAEGISx,,統一,-,SkyCastle,,-,-,βυsнỉȉdo家族,,-,-,神聖堂,,-,-,,,,,,
185,2026-02-13,金,・殺戮・,,宴会,,,,PhoenixJP,,-,-,TheUniverse,,-,宴会,,,,,義勇,,-,-,オアシスステップ,,-,宴会,一惡人谷一,,統一,-,一SUN一,,統一,-,桜吹雪,,統一,-,,,,,,
186,2026-02-14,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlmaVivaJP,,,TRAITORs,,
187,2026-02-15,日,沙漠黑鷹,,-,,,,VainqueurJP,,-,-,Maverickz,,-,-,,,,,SkyCastle,,-,-,UnityJP,,-,-,kaioken,,統一,-,義勇,,統一,-,ZirconiA,,-,宴会,,,,,,
188,2026-02-16,月,PONYTAIL,,宴会,雪狼族,,-,UnityJP,,-,-,ーArchー,,-,-,雲淡風輕o,,-,-,柿一門,,統一,-,ーEspoirー,,-,宴会,氣噗噗讓玻璃心碎一地,,統一,-,シェイド,,統一,-,亗Luxúria亗,,-,-,,,,,,
189,2026-02-17,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,2026-02-18,水,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,
191,2026-02-19,木,RaиkSS,,-,,,,Restart,,-,-,LeLien,,-,宴会,MystSA,,-,-,ーEspoirー,,-,-,xAEGISx,,-,-,Bagaиі,,-,-,βυsнỉȉdo家族,,統一,-,一SUN一,,統一,宴会,,,,,,
192,2026-02-20,金,・殺戮・,,-,,,,PhoenixJP,,統一,-,TheUniverse,,-,-,,,,,ひよこりあ,,-,-,シェイド,,統一,-,一惡人谷一,,-,宴会,Иouver,,-,-,ーリベリオンー,,-,宴会,,,,,,
193,2026-02-21,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RaиkSS,,,VainqueurJP,,
194,2026-02-22,日,沙漠黑鷹,,宴会,,,,AlmaVivaJP,,-,宴会,TRAITORs,,-,宴会,,,,,SkyCastle,,-,-,xAEGISx,,-,宴会,オアシスステップ,,-,宴会,黒の太陽,,-,-,Döraêmön,,統一,-,,,,,,
195,2026-02-23,月,PONYTAIL,,-,雪狼族,,,UnityJP,,-,-,シェイド,,統一,-,Maverickz,,-,-,Pandora,,-,宴会,ーEspoirー,,-,-,氣噗噗讓玻璃心碎一地,,-,-,ーリベリオンー,,-,-,ZirconiA,,統一,-,,,,,,
196,2026-02-24,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,2026-02-25,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2026-02-26,木,PONYTAIL,,宴会,,,,Restart,,-,宴会,黄昏のえりしおん,,-,-,MystSA,,-,-,ーEspoirー,,統一,-,雲淡風輕o,,-,-,ムpocalypse,,統一,-,βυsнỉȉdo家族,,-,宴会,Döraêmön,,-,-,,,,,,
199,2026-02-27,金,・殺戮・,,-,,,,UnityJP,,-,宴会,TRAITORs,,-,-,,,,,ひよこりあ,,統一,宴会,ーArchー,,-,-,一惡人谷一,,-,-,一SUN一,,-,-,亗Luxúria亗,,-,-,,,,,,
200,2026-02-28,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RaиkSS,,,TRAITORs,,
201,2026-03-01,日,沙漠黑鷹,,-,,,,AlmaVivaJP,,-,-,VainqueurJP,,-,-,,,,,SkyCastle,,統一,-,xAEGISx,,統一,-,微笑Party,,統一,-,義勇,,-,宴会,PokemonGo,,-,宴会,,,,,,
202,2026-03-02,月,常悪魔遇到殺手猫,,-,雪狼族,,-,UnityJP,,-,宴会,シェイド,,-,-,Maverickz,,-,宴会,Pandora,,-,-,SERENITY,,統一,宴会,氣噗噗讓玻璃心碎一地,,-,宴会,ーリベリオンー,,-,-,Döraêmön,,-,-,,,,,,
203,2026-03-03,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2026-03-04,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2026-03-05,木,PONYTAIL,,-,,,,オアシスステップ,,-,-,柿一門,,-,-,MystSA,,-,宴会,TheUniverse,,-,-,毛家村,,統一,宴会,C0BRA,,-,-,ーリベリオンー,,-,-,黒の太陽,,-,-,,,,,,
206,2026-03-06,金,・殺戮・,,宴会,,,,VainqueurJP,,-,-,柿一門,,-,-,,,,,ーEspoirー,,-,-,ーArchー,,-,-,kaioken,,統一,-,Revenant,,統一,宴会,亗Luxúria亗,,統一,-,,,,,,
207,2026-03-07,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PONYTAIL,,,TRAITORs,,
208,2026-03-08,日,沙漠黑鷹,,宴会,,,,AlmaVivaJP,,統一,,雲淡風輕o,,-,-,,,,,SkyCastle,,-,-,黒の太陽,,-,宴会,ーリベリオンー,,-,宴会,ーEspoirー,,-,-,Revenant,,統一,-,,,,,,
209,2026-03-09,月,RaиkSS,,宴会,雪狼族,,宴会,PokemonGo,,統一,-,オアシスステップ,,-,-,MystSA,,-,-,RëBîrth,,統一,宴会,βυsнỉȉdo家族,,-,-,PhoenixJP,,-,-,一惡人谷一,,統一,-,Döraêmön,,統一,-,,,,,,
210,2026-03-10,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2026-03-11,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2026-03-12,木,Maverickz,,-,,,,ーArchー,,-,-,黄昏のえりしおん,,-,-,MystSA,,-,-,TheUniverse,,統一,-,毛家村,,-,-,Иouver,,統一,宴会,ーリベリオンー,,-,-,黒の太陽,,-,-,,,,,,
213,2026-03-13,金,・殺戮・,,-,,,,VainqueurJP,,-,-,PhoenixJP,,-,宴会,,,,,義勇,,-,宴会,シェイド,,統一,-,ーリベリオンー,,-,宴会,UnityJP,,-,-,xAEGISx,,-,宴会,,,,,,
214,2026-03-14,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RaиkSS,,,MystSA,,
215,2026-03-15,日,沙漠黑鷹,,-,,,,AlmaVivaJP,,-,宴会,TRAITORs,,-,宴会,,,,,ーリベリオンー,,-,-,xAEGISx,,-,-,ムpocalypse,,統一,-,磯野家,,-,宴会,氣噗噗讓玻璃心碎一地,,-,-,,,,,,
216,2026-03-16,月,PONYTAIL,,-,,,-,PokemonGo,,-,-,UnityJP,,-,宴会,VainqueurJP,,-,-,Revenant,,-,-,βυsнỉȉdo家族,,統一,-,TheUniverse,,-,-,一惡人谷一,,-,-,ZirconiA,,-,宴会,,,,,,
217,2026-03-17,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2026-03-18,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2026-03-19,木,PONYTAIL,,宴会,,,,ーArchー,,-,-,黄昏のえりしおん,,-,宴会,VainqueurJP,,-,-,ーEspoirー,,-,宴会,Etërnîty,,統一,-,C0BRA,,-,-,Elements,,-,-,黒の太陽,,-,-,,,,,,
220,2026-03-20,金,・殺戮・,,宴会,,,,VainqueurJP,,-,宴会,TRAITORs,,-,-,,,,,ーEspoirー,,-,-,シェイド,,-,宴会,柿一門,,統一,-,xAEGISx,,統一,-,放置無言出入自由,,統一,-,,,,,,
221,2026-03-21,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VainqueurJP,,,TRAITORs,,
222,2026-03-22,日,沙漠黑鷹,,-,,,,AlmaVivaJP,,-,-,Döraêmön,,統一,-,,,,,ーリベリオンー,,-,宴会,黒の太陽,,-,宴会,一DEFlANCE,,-,宴会,磯野家,,統一,-,氣噗噗讓玻璃心碎一地,,統一,-,,,,,,
223,2026-03-23,月,RaиkSS,,宴会,雪狼族,,-,PokemonGo,,-,-,UnityJP,,-,-,MystSA,,-,宴会,Pandora,,-,-,ーリベリオンー,,-,-,xAEGISx,,統一,宴会,PhoenixJP,,-,宴会,Outlaws,,統一,-,,,,,,
224,2026-03-24,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2026-03-25,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2026-03-26,木,PONYTAIL,,-,,,,シェイド,,統一,宴会,xAEGISx,,-,-,PhoenixJP,,-,宴会,ーEspoirー,,統一,-,一惡人谷一,,-,宴会,Kopitiam,,-,-,kaioken,,統一,-,黒の太陽,,-,宴会,,,,,,
227,2026-03-27,金,・殺戮・,,-,,,,UnityJP,,統一,-,FLORISTS,,-,-,,,,,TheEnd,,統一,-,ーArchー,,-,-,ーリベリオンー,,-,-,黒の太陽,,-,宴会,放置無言出入自由,,-,-,,,,,,
228,2026-03-28,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlmaVivaJP,,,TRAITORs,,
229,2026-03-29,日,沙漠黑鷹,,宴会,,,,VainqueurJP,,-,-,xAEGISx,,-,-,,,,,亗Luxúria亗,,統一,-,海尼根飲酒俱樂部,,統一,-,ーリベリオンー,,-,-,柿一門,,-,-,Restart,,-,宴会,,,,,,
230,2026-03-30,月,RaиkSS,,-,雪狼族,,宴会,VainqueurJP,,-,宴会,xAEGISx,,-,-,MystSA,,-,-,Revenant,,統一,宴会,βυsнỉȉdo家族,,-,-,氣噗噗讓玻璃心碎一地,,-,-,ーArchー,,統一,-,TheUniverse,,-,-,,,,,,
231,2026-03-31,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2026-04-01,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2026-04-02,木,PONYTAIL,,宴会,,,,ーArchー,,-,-,磯野家,,-,-,VainqueurJP,,-,-,ーEspoirー,,-,宴会,一惡人谷一,,-,-,Kopitiam,,統一,-,一DEFlANCE,,-,宴会,Döraêmön,,-,-,,,,,,
234,2026-04-03,金,・殺戮・,,-,,,,UnityJP,,統一,-,PhoenixJP,,-,宴会,,,,,ひよこりあ,,-,宴会,心晴,,統一,-,ーリベリオンー,,-,宴会,亗Luxúria亗,,統一,-,Restart,,-,-,,,,,,
235,2026-04-04,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlmaVivaJP,,,TRAITORs,,
236,2026-04-05,日,沙漠黑鷹,,-,,,,VainqueurJP,,-,-,xAEGISx,,-,宴会,,,,,海洋之心,,-,-,黒の太陽,,-,-,Elements,,統一,-,オアシスステップ,,-,宴会,Revenant,,統一,-,,,,,,
237,2026-04-06,月,RaиkSS,,-,雪狼族,,-,VainqueurJP,,-,-,ーArchー,,-,宴会,MystSA,,-,-,ーEspoirー,,-,-,βυsнỉȉdo家族,,-,-,氣噗噗讓玻璃心碎一地,,統一,宴会,ーリベリオンー,,-,宴会,TheUniverse,,統一,-,,,,,,
238,2026-04-07,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,2026-04-08,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2026-04-09,木,PONYTAIL,,-,,,,ーArchー,,-,-,柿一門,,-,-,Иouver,,-,-,C0BRA,,統一,-,一惡人谷一,,-,-,Kopitiam,,-,宴会,一DEFlANCE,,統一,-,PokemonGo,,-,-,,,,,,
241,2026-04-10,金,・殺戮・,,宴会,,,,UnityJP,,-,宴会,PhoenixJP,,-,-,,,,,のら猫,,統一,-,オアシスステップ,,-,宴会,ーリベリオンー,,-,-,亗Luxúria亗,,-,-,Pandora,,-,宴会,,,,,,
242,2026-04-11,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PhoenixJP,,,RaиkSS,,
243,2026-04-12,日,沙漠黑鷹,,宴会,,,,AlmaVivaJP,,統一,-,TRAITORs,,-,-,,,,,微笑Party,,統一,-,シェイド,,統一,-,オアシスステップ,,-,-,黄昏のえりしおん,,-,-,Restart,,-,宴会,,,,,,
244,2026-04-13,月,常悪魔遇到殺手猫,,宴会,雪狼族,,宴会,VainqueurJP,,-,-,UnityJP,,-,-,MystSA,,統一,宴会,Pandora,,-,-,βυsнỉȉdo家族,,統一,宴会,氣噗噗讓玻璃心碎一地,,-,-,シェイド,,-,-,TheUniverse,,-,-,,,,,,
245,2026-04-14,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2026-04-15,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2026-04-16,木,PONYTAIL,,-,,,,FLORISTS,,-,-,義勇,,-,宴会,Döraêmön,,,,Maverickz,,-,宴会,xAEGISx,,統一,-,Kopitiam,,-,-,ーリベリオンー,,-,-,PokemonGo,,-,宴会,,,,,,
248,2026-04-17,金,・殺戮・,,-,,,,Maverickz,,-,-,TRAITORs,,-,-,,,,,柿一門,,-,宴会,ーArchー,,-,-,ムpocalypse,,統一,-,亗Luxúria亗,,統一,-,Elements,,統一,-,,,,,,
249,2026-04-18,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VainqueurJP,,,RaиkSS,,
250,2026-04-19,日,沙漠黑鷹,,-,,,,AlmaVivaJP,,-,-,TRAITORs,,-,-,,,,,ーリベリオンー,,-,-,シェイド,,-,宴会,オアシスステップ,,-,宴会,心晴,,統一,-,Restart,,統一,-,,,,,,
251,2026-04-20,月,常悪魔遇到殺手猫,,-,雪狼族,,-,黒の太陽,,-,宴会,xAEGISx,,統一,-,MystSA,,-,-,Pandora,,-,宴会,βυsнỉȉdo家族,,-,-,氣噗噗讓玻璃心碎一地,,-,-,一惡人谷一,,-,宴会,Revenant,,統一,宴会,,,,,,
252,2026-04-21,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2026-04-22,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2026-04-23,木,PONYTAIL,,宴会,,,,FLORISTS,,-,宴会,義勇,,-,-,Döraêmön,,-,-,Elemento,,統一,-,一惡人谷一,,-,-,Kopitiam,,統一,宴会,ーリベリオンー,,-,-,PokemonGo,,-,-,,,,,,
255,2026-04-24,金,・殺戮・,,宴会,,,,PhoenixJP,,-,-,TRAITORs,,-,宴会,,,,,のら猫,,統一,-,UnityJP,,-,-,C0BRA,,-,-,TheUniverse,,-,宴会,微笑Party,,-,-,,,,,,
256,2026-04-25,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlmaVivaJP,,,RaиkSS,,
257,2026-04-26,日,沙漠黑鷹,,-,,,,VainqueurJP,,-,-,TRAITORs,,-,-,,,,,亗Luxúria亗,,統一,宴会,一SUN一,,統一,-,ーArchー,,統一,-,心晴,,-,-,Maverickz,,-,-,,,,,,
258,2026-04-27,月,常悪魔遇到殺手猫,,宴会,雪狼族,,-,Maverickz,,-,-,xAEGISx,,-,-,MystSA,,-,-,Pandora,,-,-,βυsнỉȉdo家族,,統一,-,UnityJP,,-,宴会,ーリベリオンー,,-,-,C0BRA,,-,-,,,,,,
259,2026-04-28,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2026-04-29,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2026-04-30,木,PONYTAIL,,-,,,,黒の太陽,,-,-,義勇,,統一,-,Döraêmön,,-,-,MÏRÃGË,,-,-,Etërnîty,,統一,宴会,Kopitiam,,-,-,ーリベリオンー,,-,宴会,PokemonGo,,-,-,,,,,,
262,2026-05-01,金,・殺戮・,,-,,,,UnityJP,,-,宴会,TRAITORs,,-,-,,,,,Restart,,-,-,シェイド,,-,宴会,Иouver,,統一,-,Revenant,,統一,-,美孚冰室,,統一,-,,,,,,
263,2026-05-02,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlmaVivaJP,,,PhoenixJP,,
264,2026-05-03,日,沙漠黑鷹,,宴会,,,,VainqueurJP,,-,宴会,TRAITORs,,-,宴会,,,,,亗Luxúria亗,,-,-,微笑Party,,-,-,ーArchー,,-,-,オアシスステップ,,統一,-,Revenant,,統一,宴会,,,,,,
265,2026-05-04,月,PONYTAIL,,-,雪狼族,,宴会,Döraêmön,,-,-,xAEGISx,,-,宴会,RaиkSS,,-,宴会,Pandora,,-,-,Kopitiam,,-,宴会,一DEFlANCE,,統一,-,Restart,,-,-,ムpocalypse,,統一,-,,,,,,
266,2026-05-05,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2026-05-06,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2026-05-07,木,雲淡風輕o,,宴会,,,,黒の太陽,,-,-,黄昏のえりしおん,,-,宴会,MystSA,,-,-,MÏRÃGË,,-,-,Etërnîty,,-,-,βυsнỉȉdo家族,,-,-,シェイド,,統一,-,PokemonGo,,統一,宴会,,,,,,
269,2026-05-08,金,・殺戮・,,-,,,,UnityJP,,-,-,xAEGISx,,統一,-,,,,,桜吹雪,,統一,-,シェイド,,-,-,ーリベリオンー,,-,宴会,FLORISTS,,-,-,美孚冰室,,-,宴会,,,,,,
270,2026-05-09,土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AlmaVivaJP,,,VainqueurJP,,
271,2026-05-10,日,沙漠黑鷹,,-,,,,xAEGISx,,-,-,TRAITORs,,-,-,,,,,亗Luxúria亗,,統一,宴会,シェイド,,統一,宴会,一惡人谷一,,-,-,オアシスステップ,,-,-,Revenant,,-,-,,,,,,
272,2026-05-11,月,PONYTAIL,,-,雪狼族,,-,MystSA,,-,宴会,PhoenixJP,,-,-,RaиkSS,,-,-,RëBîrth,,統一,-,ーリベリオンー,,-,-,Maverickz,,-,-,シェイド,,統一,-,C0BRA,,-,宴会,,,,,,
273,2026-05-12,火,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2026-05-13,水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2026-05-14,木,Иouver,,-,,,,黒の太陽,,-,宴会,柿一門,,-,-,RaиkSS,,-,宴会,ZirconiA,,統一,-,一DEFlANCE,,-,宴会,Kopitiam,,統一,-,SERENITY,,-,宴会,Maverickz,,-,-,,,,,,
